ts_utc,session_id,role,text,meta_json
2026-03-08T14:16:36+00:00,57cf7a9486af421a8fad04d4eec50229,user,Hello.,"{""client"": ""livekit"", ""stt"": ""livekit""}"
2026-03-08T14:16:45+00:00,57cf7a9486af421a8fad04d4eec50229,assistant,Hello! How can I assist you with Harij Softech?,"{""client"": ""livekit"", ""model"": ""qwen2.5:0.5b"", ""mode"": ""chat""}"
2026-03-08T14:16:50+00:00,57cf7a9486af421a8fad04d4eec50229,user,How can you assist me?,"{""client"": ""livekit"", ""stt"": ""livekit""}"
2026-03-08T14:17:03+00:00,57cf7a9486af421a8fad04d4eec50229,assistant,I'm here to help you understand and find information about Harij Softech. Would you like a quick quote or more details on specific services/products?,"{""client"": ""livekit"", ""model"": ""qwen2.5:0.5b"", ""mode"": ""chat""}"
2026-03-08T14:17:07+00:00,57cf7a9486af421a8fad04d4eec50229,user,what services they provide,"{""client"": ""livekit"", ""stt"": ""livekit""}"
2026-03-08T14:17:35+00:00,57cf7a9486af421a8fad04d4eec50229,assistant,"Services: Software development, Web development, Mobile app development, Custom software development, UI/UX design, Hardware setup, Support & maintenance, Offshore development; Products: VMS, ESL, POS, QSR self ordering, Digital signage, Laptops/desktops, Hibo Care. What do you need?","{""client"": ""livekit"", ""model"": ""qwen2.5:0.5b"", ""mode"": ""chat""}"
2026-03-09T04:55:54+00:00,9db11e9a4c3f43efb7077337df185d45,user,"Hi guys, thank you so much for joining us today, thank you so much for joining us today, thank you so much for joining us today","{""client"": ""livekit"", ""stt"": ""livekit""}"
2026-03-09T04:55:59+00:00,9db11e9a4c3f43efb7077337df185d45,assistant,Do you want a quick quote?,"{""client"": ""livekit"", ""model"": ""qwen2.5:0.5b"", ""mode"": ""chat"", ""partial"": true}"
2026-03-09T04:56:02+00:00,9db11e9a4c3f43efb7077337df185d45,user,I'm going to take a bottle of water. I'm going to take a bottle of water. I'm going to take a bottle of water. I'm going to take a bottle of water. I'm going to take a bottle of water. I'm going to take a bottle of water. I'm going to take a bottle of water. I'm going to take a bottle of water. I'm going to take a bottle of water. I'm going to take a bottle of water. I'm going to take a bottle of water. I'm going to take a bottle of water. I'm going to take a bottle of water. I'm going to take a bottle of water. I'm going to take a bottle of water.,"{""client"": ""livekit"", ""stt"": ""livekit""}"
2026-03-09T04:56:04+00:00,9db11e9a4c3f43efb7077337df185d45,user,Thank you. Thank you.,"{""client"": ""livekit"", ""stt"": ""livekit""}"
2026-03-09T04:56:07+00:00,9db11e9a4c3f43efb7077337df185d45,user,"Mr. Christian, I'm going to take a look.","{""client"": ""livekit"", ""stt"": ""livekit""}"
2026-03-09T04:56:11+00:00,9db11e9a4c3f43efb7077337df185d45,assistant,Sure thing!,"{""client"": ""livekit"", ""model"": ""qwen2.5:0.5b"", ""mode"": ""chat"", ""partial"": true}"
2026-03-09T04:56:13+00:00,9db11e9a4c3f43efb7077337df185d45,user,"I can't find it, I can't find it, I can't find it.","{""client"": ""livekit"", ""stt"": ""livekit""}"
